year,month,CPI,temperature,GDP,population,urbanization_rate,INDPRO,all sectors,commercial,industrial,residential,date,month_sin,month_cos
2008,10,0.31255793622681627,0.5164438786335668,0.214482345702521,0.37437592547877685,0.23232323232323182,0.5070491081034003,0.2788875606699983,0.5463499314755595,0.5599965016617103,0.17733282348987855,2008-10-01,0.0669872981077807,0.75
2008,11,0.28129686711031066,0.30299172501591354,0.214482345702521,0.37437592547877685,0.23232323232323182,0.4442065142775178,0.18216122016908387,0.39221562357240747,0.35774881931082714,0.173335187309533,2008-11-01,0.24999999999999978,0.9330127018922192
2008,12,0.26473935292300044,0.04731593464884365,0.214482345702521,0.37437592547877685,0.23232323232323182,0.3089158922552029,0.40241671827517167,0.4793969849246231,0.19726255028861273,0.5143393471686308,2008-12-01,0.4999999999999999,1.0
2009,1,0.2716351769928178,0.02991725015913438,0.1880327304495215,0.4267897581376303,0.23232323232323182,0.19380948965686873,0.49392939956504844,0.5242941982640477,0.15851845373447615,0.6421941808322036,2009-01-01,0.75,0.9330127018922194
2009,2,0.279548417728674,0.15128368342881404,0.1880327304495215,0.4267897581376303,0.23232323232323182,0.16615096156801723,0.2392018204600117,0.3300137048880767,0.0,0.39866281966605266,2009-02-01,0.9330127018922193,0.75
2009,3,0.28343721031886604,0.28071292170591977,0.1880327304495215,0.4267897581376303,0.23232323232323182,0.09638733209700767,0.22160932121613652,0.3930013704888078,0.12301032009795332,0.2977254029501397,2009-03-01,1.0,0.5
2009,4,0.28743904920528474,0.451517080415871,0.1880327304495215,0.4267897581376303,0.23232323232323182,0.06098298173174488,0.08951075137182607,0.3445043398812244,0.08995102326394955,0.1254214899016235,2009-04-01,0.9330127018922194,0.2500000000000001
2009,5,0.29208148377032006,0.6791852323360916,0.1880327304495215,0.4267897581376303,0.23232323232323182,0.018119691396605297,0.1601687958175506,0.443325719506624,0.16586496414203244,0.15648717859584482,2009-05-01,0.75,0.06698729810778065
2009,6,0.305925886848194,0.8253766178654787,0.1880327304495215,0.4267897581376303,0.23232323232323182,0.004861630516081128,0.3779614880532314,0.6191137505710369,0.18904145530872807,0.3891959536969445,2009-06-01,0.5000000000000001,0.0
2009,7,0.3033484312942294,0.9121578612348822,0.1880327304495215,0.4267897581376303,0.23232323232323182,0.05668487003207012,0.610977489090202,0.7377249885792598,0.3075476648591917,0.6568985295651268,2009-07-01,0.2500000000000001,0.06698729810778059
2009,8,0.3069885220327231,0.8964566093783153,0.1880327304495215,0.4267897581376303,0.23232323232323182,0.1057263757543474,0.6611481572163094,0.7825673823663775,0.47406856743047054,0.665299359219476,2009-08-01,0.06698729810778076,0.24999999999999978
2009,9,0.3080059386987617,0.7795459367706343,0.1880327304495215,0.4267897581376303,0.23232323232323182,0.143717789776745,0.4142770728616074,0.6203563270899957,0.371917089382543,0.39809503945493097,2009-09-01,0.0,0.4999999999999999
2009,10,0.3095735140064362,0.4426055590918736,0.1880327304495215,0.4267897581376303,0.23232323232323182,0.15397383223532568,0.24543084700358597,0.5036637734125171,0.3539006471925834,0.20561754788472908,2009-10-01,0.0669872981077807,0.75
2009,11,0.3107265862279467,0.34373010821133043,0.1880327304495215,0.4267897581376303,0.23232323232323182,0.17202692595362823,0.1089107484913514,0.3280036546368206,0.187204827706839,0.14160901959421102,2009-11-01,0.24999999999999978,0.9330127018922192
2009,12,0.30785521030379326,0.0,0.1880327304495215,0.4267897581376303,0.23232323232323182,0.18692943719838961,0.41231835006409034,0.5030059387848334,0.2517491691446563,0.5006430979942296,2009-12-01,0.4999999999999999,1.0
2010,1,0.31341708807813773,0.02185444515170809,0.21533750034514632,0.47681641466695357,0.23232323232323182,0.23530496613764296,0.5677775697434939,0.4964824120603015,0.18326919713136247,0.7727952167414052,2010-01-01,0.75,0.9330127018922194
2010,2,0.3138240547445532,0.04583068109484412,0.21533750034514632,0.47681641466695357,0.23232323232323182,0.25098615792871026,0.3271211095588551,0.36173595248972146,0.12388490467028124,0.4870511349810547,2010-02-01,0.9330127018922193,0.75
2010,3,0.3205314683206597,0.29556545724591554,0.21533750034514632,0.47681641466695357,0.23232323232323182,0.2840134834684074,0.28428124954992584,0.3800822293284605,0.3043991603988103,0.35901090369752375,2010-03-01,1.0,0.5
2010,4,0.32338023498556767,0.5007426267769999,0.21533750034514632,0.47681641466695357,0.23232323232323182,0.3002633169742124,0.10094623593968288,0.34424851530379175,0.31756165821234905,0.083880835679772,2010-04-01,0.9330127018922194,0.2500000000000001
2010,5,0.3246538899230531,0.6416295353278167,0.21533750034514632,0.47681641466695357,0.23232323232323182,0.3639358203297096,0.221040427462446,0.46086797624486064,0.47035158299807556,0.1626400621082027,2010-05-01,0.75,0.06698729810778065
2010,6,0.3230486325166366,0.866539359219181,0.21533750034514632,0.47681641466695357,0.23232323232323182,0.374063790330017,0.5606771996024944,0.7023115577889447,0.5248382018541191,0.5410018423888483,2010-06-01,0.5000000000000001,0.0
2010,7,0.32339530782506465,0.9562911096965838,0.21533750034514632,0.47681641466695357,0.23232323232323182,0.3921220069466509,0.8352224446588796,0.8583462768387391,0.6290886828756337,0.8560966848588083,2010-07-01,0.2500000000000001,0.06698729810778059
2010,8,0.32566377016934345,0.9422872904731594,0.21533750034514632,0.47681641466695357,0.23232323232323182,0.40942203461030147,0.8550329094234728,0.8810415714938329,0.7245495889452509,0.8487271294654755,2010-08-01,0.06698729810778076,0.24999999999999978
2010,9,0.3266208954773946,0.7818799066412052,0.21533750034514632,0.47681641466695357,0.23232323232323182,0.42307455866230903,0.5379862601356702,0.6977798081315671,0.5261500787126114,0.5072478882052351,2010-09-01,0.0,0.4999999999999999
2010,10,0.3286708016489688,0.5622745597284109,0.21533750034514632,0.47681641466695357,0.23232323232323182,0.4101289945799742,0.2506445062146241,0.5026952946550938,0.4689085184537345,0.1840187251596157,2010-10-01,0.0669872981077807,0.75
2010,11,0.3293641522658246,0.2688308932739233,0.21533750034514632,0.47681641466695357,0.23232323232323182,0.41389944775156007,0.1574611495974536,0.37584285061671996,0.3610285114570577,0.14320807406634928,2010-11-01,0.24999999999999978,0.9330127018922192
2010,12,0.33219784609123604,0.06004667939741137,0.21533750034514632,0.47681641466695357,0.23232323232323182,0.4604051188000122,0.4753791424826812,0.49474645957058017,0.3915952422599265,0.570178792829747,2010-12-01,0.4999999999999999,1.0
2011,1,0.3400658683086015,0.0014852535539996436,0.24088442336780047,0.5209846834822205,0.469135802469129,0.4506357516828725,0.5838866245157204,0.49885792599360435,0.3819748119643167,0.7445452544002966,2011-01-01,0.75,0.9330127018922194
2011,2,0.3482504201554013,0.0721408869085508,0.24088442336780047,0.5209846834822205,0.469135802469129,0.4300724377823997,0.3159088617804213,0.3443581544084058,0.2187773307678853,0.4554176660757119,2011-02-01,0.9330127018922193,0.75
2011,3,0.36451401397252226,0.28495650328877575,0.24088442336780047,0.5209846834822205,0.469135802469129,0.48073790227559154,0.2809759048291156,0.42587482868889914,0.4745058597166345,0.27942897533052924,2011-03-01,1.0,0.5
2011,4,0.37535892199051935,0.47358370464672195,0.24088442336780047,0.5209846834822205,0.469135802469129,0.4638579522750801,0.15965031037114907,0.3573321151210598,0.3939566206052123,0.14941889433494393,2011-04-01,0.9330127018922194,0.2500000000000001
2011,5,0.383332454084363,0.6257161043921071,0.24088442336780047,0.5209846834822205,0.469135802469129,0.4702615751887791,0.2517462877882275,0.48741891274554594,0.46803393388140613,0.19561766375824163,2011-05-01,0.75,0.06698729810778065
2011,6,0.3815086405052417,0.8525355399957564,0.24088442336780047,0.5209846834822205,0.469135802469129,0.4840524174957226,0.5449354053548026,0.680109639104614,0.5489767360503759,0.5234701799515649,2011-06-01,0.5000000000000001,0.0
2011,7,0.3830159244549285,0.986632718014004,0.24088442336780047,0.5209846834822205,0.469135802469129,0.506921035645127,0.8472772312877164,0.8609227957971677,0.6948137134860941,0.8565601789087034,2011-07-01,0.2500000000000001,0.06698729810778059
2011,8,0.387711113958203,0.9624443029917251,0.24088442336780047,0.5209846834822205,0.469135802469129,0.5378530957674617,0.8618812380280272,0.8847327546825032,0.7709025712786426,0.8450887011737986,2011-08-01,0.06698729810778076,0.24999999999999978
2011,9,0.3903036423516646,0.7733927434754935,0.24088442336780047,0.5209846834822205,0.469135802469129,0.5343285417157615,0.5272204859360821,0.6761078117862036,0.5940615707538917,0.485649065480122,2011-09-01,0.0,0.4999999999999999
2011,10,0.3867765979093971,0.5399957564184172,0.24088442336780047,0.5209846834822205,0.469135802469129,0.5683599553283276,0.2527544539340083,0.506148926450434,0.5651565506384464,0.15965052548637915,2011-10-01,0.0669872981077807,0.75
2011,11,0.38533714173744626,0.29938468067048596,0.24088442336780047,0.5209846834822205,0.469135802469129,0.5683036034466866,0.15987354716057212,0.358172681589767,0.41603988105649803,0.14383379103370775,2011-11-01,0.24999999999999978,0.9330127018922192
2011,12,0.38113181951781994,0.12221514958625079,0.24088442336780047,0.5209846834822205,0.469135802469129,0.5940461675597586,0.351489925539729,0.43700319780721797,0.3771208675878954,0.41174493922434285,2011-12-01,0.4999999999999999,1.0
2012,1,0.3886154843280152,0.13749204328453213,0.2719814165843317,0.5658937366111738,0.469135802469129,0.6240253685925348,0.4172439618049053,0.44381909547738707,0.34314325695294734,0.5222882701243323,2012-01-01,0.75,0.9330127018922194
2012,2,0.39613683123695265,0.16698493528538083,0.2719814165843317,0.5658937366111738,0.469135802469129,0.6402598334033467,0.24447308916509436,0.34954773869346734,0.303480846597866,0.31480515868877545,2012-02-01,0.9330127018922193,0.75
2012,3,0.4091673009819956,0.4406959473795884,0.2719814165843317,0.5658937366111738,0.469135802469129,0.6144404258153093,0.22105482983595715,0.39329374143444507,0.4346685324470876,0.21500330239510546,2012-03-01,1.0,0.5
2012,4,0.41439003986766054,0.5312964141735625,0.2719814165843317,0.5658937366111738,0.469135802469129,0.6504185407936403,0.12764823642936363,0.36703517587939705,0.42294909917789036,0.08454131470087267,2012-04-01,0.9330127018922194,0.2500000000000001
2012,5,0.41235520653558333,0.7173774665817951,0.2719814165843317,0.5658937366111738,0.469135802469129,0.6602083995041035,0.3163769389195339,0.5454362722704431,0.5824733251705436,0.23276671185733666,2012-05-01,0.75,0.06698729810778065
2012,6,0.40981543308036095,0.867812433694038,0.2719814165843317,0.5658937366111738,0.469135802469129,0.6607514267271855,0.5193927959327695,0.6771676564641389,0.5361640720657688,0.48814034599830824,2012-06-01,0.5000000000000001,0.0
2012,7,0.4069968120944465,1.0,0.2719814165843317,0.5658937366111738,0.469135802469129,0.6708076761508597,0.8492287528984777,0.8695111923252625,0.6935892950848346,0.8548220762215966,2012-07-01,0.2500000000000001,0.06698729810778059
2012,8,0.41660574727370014,0.9369828134945895,0.2719814165843317,0.5658937366111738,0.469135802469129,0.6510281656950241,0.804739821122521,0.861671996345363,0.7323333916389712,0.7779052386414991,2012-08-01,0.06698729810778076,0.24999999999999978
2012,9,0.4243531867750907,0.778060683216635,0.2719814165843317,0.5658937366111738,0.469135802469129,0.6475548406266327,0.46848040557083803,0.6511466423024213,0.46799020465278973,0.44059744383031485,2012-09-01,0.0,0.4999999999999999
2012,10,0.42367490899773164,0.5145342669212816,0.2719814165843317,0.5658937366111738,0.469135802469129,0.6631386973494129,0.2714919418720203,0.5394243947007764,0.508920762637747,0.18379856548591555,2012-10-01,0.0669872981077807,0.75
2012,11,0.41541499295344764,0.3049013367281985,0.2719814165843317,0.5658937366111738,0.469135802469129,0.6831948443151195,0.18131148013192555,0.37807217907720414,0.3274881931082736,0.18943001819214156,2012-11-01,0.24999999999999978,0.9330127018922192
2012,12,0.41074241270941836,0.13324846170167626,0.2719814165843317,0.5658937366111738,0.469135802469129,0.6967397875021781,0.31868131868131866,0.4234079488350846,0.306192058772083,0.3867973719887372,2012-12-01,0.4999999999999999,1.0
2013,1,0.4158596417186051,0.05537873965626994,0.30105280748984975,0.6086124031015334,0.469135802469129,0.6969703179270708,0.48715308282805014,0.48931932389218824,0.3999912541542767,0.5906999918888542,2013-01-01,0.75,0.9330127018922194
2013,2,0.4300733293641523,0.10884786760025467,0.30105280748984975,0.6086124031015334,0.469135802469129,0.7210684316759055,0.27685682600492556,0.36665143901324804,0.2332517054399159,0.3743525567490529,2013-02-01,0.9330127018922193,0.75
2013,3,0.4346479361514519,0.23912582219393164,0.30105280748984975,0.6086124031015334,0.469135802469129,0.7418417844079466,0.318234845102473,0.42137962539972595,0.398635648067168,0.362568220530469,2013-03-01,1.0,0.5
2013,4,0.4328241225723308,0.4252068746021642,0.30105280748984975,0.6086124031015334,0.469135802469129,0.7360529092939627,0.17821496982702745,0.3735769757880312,0.38735350708413474,0.17072803327887276,2013-04-01,0.9330127018922194,0.2500000000000001
2013,5,0.4359442003481826,0.6622109060046679,0.30105280748984975,0.6086124031015334,0.469135802469129,0.7407096238768052,0.26186395517981365,0.5067519415258108,0.592050026237537,0.16668404769353784,2013-05-01,0.75,0.06698729810778065
2013,6,0.4401570589875574,0.8646297475068958,0.30105280748984975,0.6086124031015334,0.469135802469129,0.7502228460773974,0.48368211081186163,0.6662220191868431,0.5602588770334092,0.43075978262129055,2013-06-01,0.5000000000000001,0.0
2013,7,0.44085040960441346,0.9456821557394439,0.30105280748984975,0.6086124031015334,0.469135802469129,0.7340037499615786,0.7609278009015885,0.8471448149840111,0.6790711911841871,0.730559321444711,2013-07-01,0.2500000000000001,0.06698729810778059
2013,8,0.4429681435537234,0.9197963080840228,0.30105280748984975,0.6086124031015334,0.469135802469129,0.763721683179476,0.7240505235262773,0.842613065326633,0.7192583522826657,0.6634685577223902,2013-08-01,0.06698729810778076,0.24999999999999978
2013,9,0.44501804972529757,0.7918523233609165,0.30105280748984975,0.6086124031015334,0.469135802469129,0.7910369770801537,0.5072803998098887,0.6844586569209685,0.5101889102676229,0.47058550885853,2013-09-01,0.0,0.4999999999999999
2013,10,0.4404735886169915,0.5049862083598557,0.30105280748984975,0.6086124031015334,0.469135802469129,0.7849509738629727,0.29766825572854416,0.5656646870717221,0.5082210949798842,0.20956883466008502,2013-10-01,0.0669872981077807,0.75
2013,11,0.4368787163969885,0.2539783577339274,0.30105280748984975,0.6086124031015334,0.469135802469129,0.7975430579604721,0.20494577506373068,0.409922338967565,0.36181563757215285,0.1981089442764279,2013-11-01,0.24999999999999978,0.9330127018922192
2013,12,0.43672798800201984,0.030129429238277106,0.30105280748984975,0.6086124031015334,0.469135802469129,0.8083831108287827,0.4568504889605809,0.5081955230698949,0.2933793947874759,0.5580352487224947,2013-12-01,0.4999999999999999,1.0
2014,1,0.44326206392391243,0.019520475281137206,0.33580495328597526,0.6541517972627799,0.469135802469129,0.7889826948494383,0.6351734765889419,0.6014618547281865,0.38442364876683577,0.761335326357748,2014-01-01,0.75,0.9330127018922194
2014,2,0.44978106700630804,0.05283259070655644,0.33580495328597526,0.6541517972627799,0.469135802469129,0.827880861876416,0.4025967479440611,0.4276290543627228,0.17732202203953085,0.5523458592600319,2014-02-01,0.9330127018922193,0.75
2014,3,0.4611761336659408,0.23063865902821978,0.33580495328597526,0.6541517972627799,0.469135802469129,0.88005245847891,0.3554073711347632,0.4754134307903153,0.4014780479272342,0.3873188027948691,2014-03-01,1.0,0.5
2014,4,0.46704700464997106,0.4678548695098663,0.33580495328597526,0.6541517972627799,0.469135802469129,0.8834233255806812,0.16461912923249744,0.3930196436729101,0.3999912541542767,0.13305755437364586,2014-04-01,0.9330127018922194,0.2500000000000001
2014,5,0.4732871602016746,0.6711224273286656,0.33580495328597526,0.6541517972627799,0.469135802469129,0.9047806887224521,0.2764319559863464,0.524714481498401,0.6133024313451108,0.17288328061088531,2014-05-01,0.75,0.06698729810778065
2014,6,0.476625794150231,0.8474432420963294,0.33580495328597526,0.6541517972627799,0.469135802469129,0.9221575598610672,0.5023403856955626,0.6847327546825035,0.6276456183312926,0.431536135154865,2014-06-01,0.5000000000000001,0.0
2014,7,0.47592490711362667,0.926161680458307,0.33580495328597526,0.6541517972627799,0.469135802469129,0.9333101095275662,0.7092448835568101,0.8128460484239377,0.7459769109672902,0.651452474478859,2014-07-01,0.2500000000000001,0.06698729810778059
2014,8,0.4729254120537498,0.9040950562274561,0.33580495328597526,0.6541517972627799,0.469135802469129,0.9251083492997001,0.7118301096020623,0.8159342165372316,0.806804267972713,0.6375708276844996,2014-08-01,0.06698729810778076,0.24999999999999978
2014,9,0.4742744311887195,0.7757267133460641,0.33580495328597526,0.6541517972627799,0.469135802469129,0.9415733445354046,0.5319732691947634,0.7144449520328919,0.6179377295784501,0.4627292847128075,2014-09-01,0.0,0.4999999999999999
2014,10,0.46976765217915584,0.5790367069806917,0.33580495328597526,0.6541517972627799,0.469135802469129,0.9421676007417954,0.31430299713392773,0.5860575605299223,0.5962917614133283,0.19966164934357655,2014-10-01,0.0669872981077807,0.75
2014,11,0.4601059620616632,0.20390409505622742,0.33580495328597526,0.6541517972627799,0.469135802469129,0.9755176688763436,0.233167225958838,0.4256555504796711,0.4235613083785199,0.21644013394978057,2014-11-01,0.24999999999999978,0.9330127018922192
2014,12,0.45001469601850963,0.15213239974538517,0.33580495328597526,0.6541517972627799,0.469135802469129,0.9752256636714796,0.407486353751098,0.4955504796710828,0.38328668882280903,0.46342452578765037,2014-12-01,0.4999999999999999,1.0
2015,1,0.44168695219648946,0.07298960322512194,0.3678906453359647,0.7002056864195767,0.469135802469129,0.9336994498007192,0.5518413434534011,0.5604202832343534,0.36080986531397574,0.6599923523481768,2015-01-01,0.75,0.9330127018922194
2015,2,0.44933641824115056,0.07107999151283684,0.3678906453359647,0.7002056864195767,0.469135802469129,0.8992428356266844,0.38694856912419184,0.44825947921425313,0.23574427147105093,0.4986153115259384,2015-02-01,0.9330127018922193,0.75
2015,3,0.45986479662971336,0.3341820496499045,0.3678906453359647,0.7002056864195767,0.469135802469129,0.8824755893894531,0.3767516886782942,0.49054362722704425,0.3651827881756162,0.4213160913546772,2015-03-01,1.0,0.5
2015,4,0.4634822781089616,0.5007426267769999,0.3678906453359647,0.7002056864195767,0.469135802469129,0.8527627790698871,0.16160183198191058,0.4242485153037918,0.39929158649641394,0.10882840291537765,2015-04-01,0.9330127018922194,0.2500000000000001
2015,5,0.4725712003255733,0.6619987269255252,0.3678906453359647,0.7002056864195767,0.469135802469129,0.8291462177641629,0.252452004090274,0.5199634536317954,0.5054224243484344,0.16632483980486912,2015-05-01,0.75,0.06698729810778065
2015,6,0.4788490379760193,0.8854232972628899,0.3678906453359647,0.7002056864195767,0.469135802469129,0.8135265007530661,0.528300663949419,0.7002101416171769,0.6498163372398107,0.4576192628127136,2015-06-01,0.5000000000000001,0.0
2015,7,0.478969620691994,0.9395289624443031,0.3678906453359647,0.7002056864195767,0.469135802469129,0.8456521961865144,0.7914392291849695,0.8689447236180903,0.7166783277942974,0.755854509217738,2015-07-01,0.2500000000000001,0.06698729810778059
2015,8,0.47642231081702335,0.9189475917674519,0.3678906453359647,0.7002056864195767,0.469135802469129,0.8374043298736691,0.7849149539844167,0.8692188213796253,0.7440528249081684,0.7382069732679808,2015-08-01,0.06698729810778076,0.24999999999999978
2015,9,0.47362629909035414,0.8253766178654787,0.3678906453359647,0.7002056864195767,0.469135802469129,0.8223686232723031,0.5755476502527614,0.7536592051164916,0.5847472450585971,0.5169117391455489,2015-09-01,0.0,0.4999999999999999
2015,10,0.47281990217727166,0.5856142584341184,0.3678906453359647,0.7002056864195767,0.469135802469129,0.7986188666099734,0.30980225541169193,0.5823663773412515,0.5199842574776978,0.2148526668288897,2015-10-01,0.0669872981077807,0.75
2015,11,0.4690366194635578,0.31741990239762363,0.3678906453359647,0.7002056864195767,0.469135802469129,0.7602534810094159,0.16478475652787572,0.42373686614892647,0.3120955046352982,0.13755344665762848,2015-11-01,0.24999999999999978,0.9330127018922192
2015,12,0.46292458304757744,0.19138552938680242,0.3678906453359647,0.7002056864195767,0.469135802469129,0.7346799725412652,0.3190845851396309,0.4728734582000913,0.3002448836802518,0.35762042154783846,2015-12-01,0.4999999999999999,1.0
2016,1,0.4658713231692153,0.054742202418841535,0.38905931713170205,0.7458699507850088,0.7213804713804741,0.7611551111156647,0.48864372848645465,0.5383097304705347,0.32753192233689,0.5812794753247357,2016-01-01,0.75,0.9330127018922194
2016,2,0.4673409250201599,0.20857203479736897,0.38905931713170205,0.7458699507850088,0.7213804713804741,0.7333787563652017,0.3152103466651306,0.41116491548652356,0.23570054224243453,0.4073185710478442,2016-02-01,0.9330127018922193,0.75
